ID,Year,Date ,Database,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Mode of Transport,Method of Detection,Obfuscation Method,Species
163,2010,1-Jun-10,Reptiles,Kuala Lumpur Airport,"Kuala Lumpur, Malaysia",Madagascar,,"Kuala Lumpur, Malaysia",,300,Air Mauritius,Luggage,,,Radiated Tortoises; Kapikas; ploughshare tortoises; spider tortoises
164,2010,1-Jul-10,Reptiles,Kuala Lumpur Airport,"Kuala Lumpur, Malaysia",Madagascar,,,,415,,Luggage,,,radiated tortoises; ploughshare tortoises; tomato frogs
165,2010,1-Aug-10,Reptiles,Honolulu Airport,"Honolulu, USA","Osaka, Japan",,"Honolulu, USA",,42,,Luggage,intelligence,,Indian Star Tortoises; Pig-Nosed Turtles; White-Front Box Turtles
166,2010,26-Aug-10,Reptiles,Kuala Lumpur Airport,"Kuala Lumpur, Malaysia","Penang, Malaysia","Kuala Lumpur, Malaysia","Jakarta, Indonesia",,95,,Luggage,Snakes got out,,Boa Constrictors
167,2010,28-Sep-10,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand",India,Bangladesh,"Bangkok, Thailand",,1140,,Luggage,,,Indian Star Tortoises
168,2010,11-Oct-10,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand",Madagascar,"Nairobi, Kenya","Bangkok, Thailand",,218,Kenya Airlines,Luggage,,,Tortoises
169,2010,2-Dec-10,Reptiles,Abu Dhabi Airport,"Abu Dhabi, UAE",Indonesia,"Abu Dhabi, UAE","Abu Dhabi, UAE",,4,Etihad Airlines,Luggage,,,Reticulated Pythons; blood pythons
170,2011,7-Jan-11,Reptiles,Los Angeles Airport,"Los Angeles, USA",Japan,,"Los Angeles, USA",,55,,Luggage,,Snack food boxes,Pig-Nosed Turtles; Star Tortoises; Chinese Soft-Shell Turtles; Indian Flap Turtles; Chinese Big-Headed Turtles; Snail Eating Turtles
171,2011,31-Jan-11,Reptiles,Soekarno-Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,,,8,,Luggage,X-ray,,Tortoises
172,2011,1-Feb-11,Reptiles,Munich Airport,"Munich, Germany",Indonesia,,"Munich, Germany",,152,,Airfreight,,,Reptiles
173,2011,9-Feb-11,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand","Bangkok, Thailand",,,,257,,Luggage,X-ray,,Indian Star Tortoises; Ball Pythons; Elongated Tortoises; Bearded Dragons; Radiated Tortoises; Argentine Horned Frogs; Mata mata Turtles; Spiny Tailed Lizards; Striped Narrow-Headed Turtles; Aldabra Troiteses; Boa Constrictors; Sudan Plated Lizards; Corn Snakes; King Snakes; Ploughshare Toirtoises; Pig-nosed Turtles; milk snakes; hog-nosed snakes
174,2011,11-Feb-11,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand","Bangkok, Thailand",,,,185,,Luggage,X-ray,,Indian Star Tortoises; Lizards; Pythons; Boa Constrictors; Ploughshare Tortoises; Yellow-headed turtles
175,2011,22-Feb-11,Reptiles,Tallinn Airport,"Tallinn, Estonia",,,"Tallinn, Estonia",,1,,Luggage,,,Naja Naja Cobras
176,2011,25-Mar-11,Reptiles,Soekarno-Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Dubai, UAE",,40,Emirates Airlines,Luggage,X-ray,,Pythons
177,2011,1-May-11,Reptiles,,Italy,Indonesia,,Italy,,200,,Luggage,,,Reticulated Pythons
178,2011,1-May-11,Reptiles,,United Kingdom,Turkey,,United Kingdom,,15,,Unknown,,,Spur-Thighed Tortoises
179,2011,16-May-11,Reptiles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,China,,557,,Luggage,X-ray,Pockets in wicker baskets; plastic bottles with leaves inside,Chameleons; Frogs; Lizards 
180,2011,5/17/2011 to 5/26/2011,Reptiles,Charles de Gaulle Airport,"Paris, France",,,,460,,,Unknown,,,Snakes; Crocodiles
181,2011,2-Jun-11,Reptiles,Shahjalal Airport,"Dhaka, Bangladesh",India,"Dhaka, Bangladesh",Malaysia,,480,,Luggage,,,Indian Star Tortoises
182,2011,10-Jun-11,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand","Dhaka, Bangladesh",Japan,"Bangkok, Thailand",,431,,Luggage,,,Indian Star Tortoises; Burmese Star Tortoises
183,2011,1-Jul-11,Reptiles,,,Indonesia,,Netherlands,,170,,Airfreight,,,Reticulated Pythons
184,2011,12-Jul-11,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand",,,"Hong Kong, China",,19,SriLankan Airlines,Luggage,X-ray,,Tortoises; Frogs; Bearded Dragons
185,2011,17-Jul-11,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand","Bangkok, Thailand",,Iran,,50,Mahan Air,Luggage,,Stuffed in socks,Snakes
186,2011,25-Jul-11,Reptiles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,"Nairobi, Kenya",,196,Kenya Airways,Luggage,X-ray,In cardboard packets in suitcases,Radiated Tortoises; Spur Tortoises
187,2011,16-Aug-11,Reptiles,Kuala Lumpur Airport,"Kuala Lumpur, Malaysia","Dhaka, Bangladesh",,,,589,,Luggage,,,Indian Star Tortoises
188,2011,25-Aug-11,Reptiles,Miami Airport,"Miami, USA","Miami, USA",,Brazil,,10,,Passenger - Clothing/Items,Wave Screener (not x-ray),,Snakes; Turtles
189,2011,26-Aug-11,Reptiles,Kuala Lumpur Airport,"Kuala Lumpur, Malaysia","Penang, Malaysia","Kuala Lumpur, Malaysia","Jakarta, Indonesia",,98,,Luggage,,,Snakes; Turtles
190,2011,29-Aug-11,Reptiles,Munich Airport,"Munich, Germany","Sydney, Australia",,"Munich, Germany",,36,,Luggage,Routine check,,Snakes
191,2011,3-Sep-11,Reptiles,Amborovy Airport,"Mahajanga, Madagascar","Mahajanga, Madagascar",,"Bangkok, Thailand",,93,,Luggage,X-ray,Wrapped in baby diapers in small plastic baskets,Angonoky Spur Turtles
192,2011,20-Oct-11,Reptiles,George Bush Intercontinental Airport,"Houston, USA",El Salvador,,"Houston, USA",,12,,Luggage,,,Sea Turtle Eggs
193,2011,7-Nov-11,Reptiles,Soekarno-Hatta Airport,"Jakarta, Indonesia",India,"Bangkok, Thailand","Jakarta, Indonesia",,80,,Passenger - Clothing/Items,,,Indian Star Tortoises; snakes
194,2011,1-Dec-11,Reptiles,,United Kingdom,Ghana,United Kingdom,Japan,,95,,Unknown,,,Graceful Chameleons
195,2011,7-Dec-11,Reptiles,Ministro Pistarini Airport,"Buenos Aires, Argentina","Buenos Aires, Argentina",Spain,"Prague, Czech Republic",,247,Iberia Airlines,Luggage,X-ray,,Lizards; snakes
196,2011,11-Dec-11,Reptiles,George Bush Intercontinental Airport,"Houston, USA",El Salvador,,"Houston, USA",,25,,Luggage,,,Sea Turtle Eggs
197,2012,3-Jan-12,Reptiles,Puerto Princesa Airport,"Puerto Princesa, Philippines",,,"Puerto Princesa, Philippines",91,40,,Airfreight,,,Hawksbill; Green Turtles
198,2012,4-Jan-12,Reptiles,Brussels Airport,"Brussels, Belgium","Entebbe, Uganda","Brussels, Belgium",Germany,,204,,Unknown,,,Chameleons
199,2012,22-Jan-12,Reptiles,Jomo Kenyatta Airport,"Nairobi, Kenya","Antananarivo, Madagascar","Nairobi, Kenya","Hanoi, Vietnam",400g each,2,,Passenger - Clothing/Items,The Kenyan Customs officers noticed that the two individuals walked funny,Pants,Turtles
200,2012,22-Jan-12,Reptiles,Malta Airport,"Luqa, Malta",,,,,15,,Unknown,,,Spur-Thighed Tortoises
201,2012,25-Jan-12,Reptiles,Mopah Airport,"Merauke, Indonesia",,,"Jakarta, Indonesia",,1500,,Luggage,,,Pig-Nosed Turtles
202,2012,8-Feb-12,Reptiles,Mopah Airport,"Merauke, Indonesia",,,,,690,,Luggage,,,Pig-Nosed Turtles
203,2012,1-Apr-12,Reptiles,Dubai Airport,"Dubai, UAE",Australia,,"Dubai, UAE",,1,,Unknown,,,Saltwater Crocodiles
204,2012,1-Apr-12,Reptiles,Dubai Airport,"Dubai, UAE",Syria,,"Dubai, UAE",,500,,Unknown,,,Spur-Thighed Tortoises
205,2012,1-Apr-12,Reptiles,Dubai Airport,"Dubai, UAE",USA,,"Dubai, UAE",,1,,Unknown,,,Mississippi Alligator
206,2012,17-Apr-12,Reptiles,Shahjalal Airport,"Dhaka, Bangladesh",India,"Dhaka, Bangladesh","Bangkok, Thailand",,415,,Luggage,intelligence,,Indian Star Tortoises; Three-Keeled Turtles; Indian Roofed Turtles
207,2012,23-Apr-12,Reptiles,Brussels Airport,"Brussels, Netherlands",Burundi,"Brussels, Netherlands",Czech Republic,,284,,Airfreight,Cases were poorly sealed,Cases,Chameleons; Frogs; Snakes
208,2012,1-May-12,Reptiles,Dubai Airport,"Dubai, UAE",Ivory Coast,,"Dubai, UAE",,1,,Unknown,,,Nile Crocodiles
209,2012,1-May-12,Reptiles,Dubai Airport,"Dubai, UAE",Ivory Coast,,"Dubai, UAE",,4,,Unknown,,,Nile Crocodiles
210,2012,1-May-12,Reptiles,Dubai Airport,"Dubai, UAE",Ivory Coast,,"Dubai, UAE",,2,,Unknown,,,Nile Crocodiles
211,2012,1-May-12,Reptiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,Unknown,,,Nile Crocodiles
212,2012,7-May-12,Reptiles,Bengaluru Airport,"Bangalore, India","Bangalore, India",,"Bangkok, Thailand",,483,Thai Airways,Luggage,,,Indian Star Tortoises
213,2012,9-May-12,Reptiles,Munich Airport,"Munich, Germany",Oman,,,,49,,Luggage,,,Lizards
214,2012,28-Jun-12,Reptiles,Tiruchirappalli Airport,"Chennai, India","Chennai, India","Colombo, Sri Lanka","Kuala Lumpur, Malaysia",,295,Sri Lankan Airlines,Luggage,Airline security,Six cloth bags of 50 tortoises each within a stroller bag,Indian Star Tortoises
215,2012,1-Jul-12,Reptiles,Dubai Airport,"Dubai, UAE",Egypt,,"Dubai, UAE",,303,,Unknown,,,Chameleons
216,2012,1-Jul-12,Reptiles,Dubai Airport,"Dubai, UAE",Morocco,,"Abu Dhabi, UAE",,1,,Unknown,,,Spur-Thighed Tortoise
217,2012,1-Jul-12,Reptiles,Dubai Airport,"Dubai, UAE",Sudan,,"Abu Dhabi, UAE",,1,,Unknown,,,Nile Crocodiles
218,2012,1-Jul-12,Reptiles,Dubai Airport,"Dubai, UAE",Sudan,,"Abu Dhabi, UAE",,2,,Unknown,,,Nile Crocodiles
219,2012,8-Jul-12,Reptiles,Seymour Airport,"Galapagos, Ecuador",,,,,4,,Luggage,X-ray ; Detector Dog,,Galapagos Land Iguanas
220,2012,11-Jul-12,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand",,,Kuwait ,,11,,Luggage,,,Pythons 
221,2012,1-Aug-12,Reptiles,Dubai Airport,"Dubai, UAE",Russia,,"Dubai, UAE",,1,,Unknown,,,Nile Crocodiles
222,2012,1-Aug-12,Reptiles,Dubai Airport,"Dubai, UAE",Senegal,,"Dubai, UAE",,15,,Unknown,,,Nile Crocodiles
223,2012,7-Aug-12,Reptiles,Shahjalal Airport,"Dhaka, Bangladesh","Dhaka, Bangladesh",,"Bangkok, Thailand",,108,Bangkok Airways,Luggage,Tip off,Wrapped in scotch tape,Tricarinate Hill Turtles
224,2012,19-Aug-12,Reptiles,Orlando Airport,"Orlando, USA","Orlando, USA",,Brazil,,27,,Luggage,,,Ball Pythons; Color Morph Corn Snakes; Boa Constrictors
225,2012,27-Aug-12,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand","Kolkata, India",,"Bangkok, Thailand",,890,Thai Airways,Luggage,Tip off,Hidden in pillow cases and a suitcase,Indian Star Tortoises
226,2012,29-Aug-12,Reptiles,Chhatrapati Shivaji Airport,"Mumbai, India","Bangkok, Thailand",,"Mumbai, India",,10,Thai Airways,Passenger - Clothing/Items,Airport security,Concealed in underwear,Indian Star Tortoises; tortoises
227,2012,1-Oct-12,Reptiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,Unknown,,,Nile Crocodiles
228,2012,9-Oct-12,Reptiles,Indira Gandhi Airport,"New Delhi, India","Bangkok, Thailand","New Delhi, India","Dubai, UAE",,12,,Passenger - Clothing/Items,suspect was a stowaway,Concealed in underwear,Turtles
229,2012,10-Oct-12,Reptiles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar","Bangkok, Thailand","Guangzhou, China",,569,Air Madagascar,Luggage,Tip-off,In bags in suitcases,Radiated Tortoises
230,2012,22-Oct-12,Reptiles,Charles de Gaulle Airport,"Paris, France",,,"Paris, France",100s,,,Luggage,,,Crocodiles
231,2012,30-Oct-12,Reptiles,Chhatrapati Shivaji Airport,"Mumbai, India","Chennai, India","Mumbai, India","Bangkok, Thailand",,57,Thai Airways,Luggage,"Security stopped them due to ""suspicious behavior""",Wrapped in clothes,Three-Keeled Pond Turtles; Indian Pond Tortoises
232,2012,1-Nov-12,Reptiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,Unknown,,,Nile Crocodiles
233,2012,1-Nov-12,Reptiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,Unknown,,,African Spurred Tortoise
234,2012,1-Nov-12,Reptiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,Unknown,,,Spur-Thighed Tortoises
235,2012,19-Nov-12,Reptiles,Val de Cans Airport,"Belem, Brazil",,,"Belem, Brazil",,10,TAM Airlines,Luggage,,Hidden under beef pieces,Turtles
236,2012,5-Nov-12,Reptiles,Shahjalal Airport,"Dhaka, Bangladesh","Dhaka, Bangladesh",,,,73,,Luggage,Scanner,Four cloth sacks,Shila Turtles; Kali Turtles; Star Turtles
237,2012,1-Dec-12,Reptiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,Unknown,,,Nile Crocodiles
238,2012,1-Dec-12,Reptiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,Unknown,,,Nile Crocodiles
239,2012,1-Dec-12,Reptiles,Dubai Airport,"Dubai, UAE",Sudan,,"Dubai, UAE",,1,,Unknown,,,African Rock Pythons
240,2012,11-Dec-12,Reptiles,Entebbe Airport,"Entebbe, Uganda",,,,,199,,Unknown,,,Snakes; chameleons
241,2013,7-Feb-13,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand","Bangkok, Thailand","Hong Kong, China",China,,2000,,Airfreight,,,Snakes
242,2013,7-Feb-13,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand",,,,,163,BFS Cargo,Airfreight,,,Oriental Rattlesnakes; monocled cobras
243,2013,10-Feb-13,Reptiles,Chennai Airport,"Chennai, India","Chennai, India",,"Bangkok, Thailand",,27,,Luggage,,,Fresh Water Tortoises
244,2013,1-Mar-13,Reptiles,,Netherlands,Indonesia,,Netherlands,,379,,Unknown,,,Pythons; monitor lizards
245,2013,1-Mar-13,Reptiles,Changi Airport,Singapore,,,Singapore,60,,,Luggage,,,Hawksbill Turtle Scutes
246,2013,1-Mar-13,Reptiles,,Spain,Argentina,,Spain,,2900,,Unknown,,,Argentine Tegus
247,2013,9-Mar-13,Reptiles,Chhatrapati Shivaji Airport,"Mumbai, India","Mumbai, India",,"Bangkok, Thailand",,97,Thai Airways,Luggage,Scanner,Wrapped in cloth and stuffed in a bag,Three-Keeled Turtles; Indian Spotted Turtles; Tortoises
248,2013,15-Mar-13,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand",Madagascar,"Nairobi, Kenya","Bangkok, Thailand",,75,,Luggage,,,Ploughshare Tortoises; Radiated Tortoises
249,2013,15-Mar-13,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand",,,"Bangkok, Thailand",,310,,Luggage,,,Indian Star Tortoises; Black Pond Turtles
250,2013,15-Mar-13,Reptiles,Soekarno-Hatta Airport,"Jakarta, Indonesia","Papua, Indonesia","Jakarta, Indonesia",,,687,,Airfreight,,,Pig-Nosed Turtles
251,2013,26-Mar-13,Reptiles,Chennai Airport,"Chennai, India",China,"Kuala Lumpur, Malaysia","Chennai, India",,9000,,Luggage,,,Red-Eared Slider Turtles
252,2013,17-Apr-13,Reptiles,Chennai Airport,"Chennai, India","Bangkok, Thailand",,"Chennai, India",,6,,Luggage,,,Snakes
253,2013,23-Apr-13,Reptiles,Islamabad Benazir Bhutto Airport,"Islamabad, Pakistan","Islamabad, Pakistan",,"Bangkok, Thailand",,320,,Luggage,,,Black Pond Turtles
254,2013,27-Apr-13,Reptiles,Chhatrapati Shivaji Airport,"Mumbai, India","Mumbai, India",,"Hong Kong, China",,385,Cathay Pacific,Luggage,Scanner,,Tortoises
255,2013,30-Apr-13,Reptiles,Netaji Subhas Chandra Bose Airport,"Kolkata, India","Kolkata, India",,"Chennai, India",,21,Spice Jet,Airfreight,Airport police approached the suspects as a result of their suspicious behavior,Inside white packets in a sack,Indian Star Tortoises
256,2013,17-May-13,Reptiles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,"Bangkok, Thailand",,79,,Luggage,Routine check,,Turtles; Frogs; Chameleons
257,2013,23-May-13,Reptiles,Mexico City Airport,"Mexico City, Mexico","Mexico City, Mexico",,Japan,,103,,Luggage,,,Utila Spiny-Tailed Iguanas; Horned Lizards; Desert Tortoises; Spotted Box Turtles
258,2013,18-Jul-13,Reptiles,Netaji Subhas Chandra Bose Airport,"Kolkata, India","Guangzhou, China",Singapore,"Kolkata, India",,10043,,Luggage,Passenger suspected the bags,,Red-Eared Slider Turtles
259,2013,19-Aug-13,Reptiles,Brussels Airport,"Brussels, Belgium",Togo,,"Brussels, Belgium",,174,,Unknown,,,Reptiles
260,2013,1-Aug-13,Reptiles,Manuel Crescencio Rejon Airport,"Merida, Mexico","Villahermosa, Mexico",,"Merida, Mexico",,28,,Unknown,,,Morelet'S Crocodiles
261,2013,1-Sep-13,Reptiles,,Netherlands,Nicaragua,,Netherlands,,600,,Airfreight,,,Red-Eyed Leaf Frogs
262,2013,1-Sep-13,Reptiles,Goteborg Landvetter Airport,"Gothenberg, Sweden",,,,,1,,Unknown,,,Nile Crocodiles
263,2013,22-Sep-13,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand",,,"Bangkok, Thailand",,220,,Luggage,,,Black Pond Turtles
264,2013,1-Oct-13,Reptiles,Hong Kong Airport,"Hong Kong, China",Thailand,,"Hong Kong, China",,335,,Luggage,,,Black Pond Turtles
265,2013,3-Nov-13,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand",,Bangladesh,"Bangkok, Thailand",,80,,Luggage,,,Black Pond Turtles; Crowned River Turtles; Three-keeled Land Tortoises; Indian Eyed Turtles
266,2013,5-Nov-13,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand","Dhaka, Bangladesh",,"Bangkok, Thailand",,475,,Luggage,,,Indian Star Tortoises; Black Pond Turtles
267,2013,6-Nov-13,Reptiles,Shanghai Pudong Airport,"Shanghai, China","Hong Kong, China",,"Shanghai, China",,121,,Luggage,X-ray,,Ball Pythons
268,2013,8-Nov-13,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand","Lahore, Pakistan",,"Bangkok, Thailand",,470,Thai Airways,Luggage,,,Indian Star Tortoises; Black Pond Turtles
269,2013,1-Nov-13,Reptiles,,United Kingdom,Indonesia,,United Kingdom,,60,,Airfreight,Risk assessment targeting,,Pythons
270,2013,1-Nov-13,Reptiles,Amsterdam Airport Schiphol,"Amsterdam, Netherlands",Guyana,"Canada, Turkey","Amsterdam, Netherlands",,318,,Luggage,,,Caimans
271,2013,1-Dec-13,Reptiles,Amsterdam Airport Schiphol,"Amsterdam, Netherlands",Guyana,"Amsterdam, Netherlands",Ukraine,,203,,Luggage,,,Caimans; snakes
272,2013,4-Dec-13,Reptiles,Arrachart Airport,"Antsiranana, Madagascar","Antsiranana, Madagascar",,,,89,,Luggage,,,Lizards; Chameleons
273,2013,10-Dec-13,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand",Madagascar,,"Bangkok, Thailand",,62,Air Madagascar,Luggage,,,Radiated Tortoises
274,2013,1-Dec-13,Reptiles,Xiamen Gaoqi Airport,"Xiamen, China",,,"Xiamen, China",,185,,Unknown,,,Box Turtles
275,2014,1-Jan-14,Reptiles,Hong Kong Airport,"Hong Kong, China",Qatar,,"Hong Kong, China",,128,,Luggage,,,Turtles
276,2014,1-Jan-14,Reptiles,,Belgium,Cameroon,Belgium,Austria,,500,,Airfreight,,,Reptiles; snakes
277,2014,7-Jan-14,Reptiles,,"West Papua, Indonesia","West Papua, Indonesia",,,,5400,,Airfreight,,,Pig-Nosed Turtles
278,2014,22-Jan-14,Reptiles,Ben Gurion Airport,"Tel Aviv, Israel",South America,"New York, USA","Tel Aviv, Israel",,18,,Luggage,suspect didn't declare 3 smartphones so Customs did a more thorough baggage inspection,Plastic Boxes,Frogs
279,2014,31-Jan-14,Reptiles,Don Mueang Airport,"Bangkok, Thailand","Chennai, India",,"Bangkok, Thailand",,521,,Luggage,,,Indian Star Tortoises; Black Pond Turtles
280,2014,3-Feb-14,Reptiles,Heathrow Airport,"London, United Kingdom",Bahamas,"London, United Kingdom","Dusseldorf, Germany",,13,,Luggage,,Wrapped in individual socks,San Salvador Rock Iguanas
281,2014,5-Feb-14,Reptiles,Chhatrapati Shivaji Airport,"Mumbai, India","Mumbai, India",,"Bangkok, Thailand",,200,,Unknown,,,Turtles
282,2014,11-Feb-14,Reptiles,Hong Kong Airport,"Hong Kong, China",Madagascar,"Bangkok, Thailand","Hong Kong, China",,233,,Luggage,,,Radiated Tortoises; Chameleons; ploughshare tortoises
283,2014,12-Feb-14,Reptiles,Chennai Airport,"Chennai, India","Chennai, India",,"Bangkok, Thailand",,420,Air Asia,Luggage,X-ray (suitcase scan?),Packed inside sealed packages in luggage and covered by carbon/graphite papers,Indian Star Tortoises
284,2014,1-Mar-14,Reptiles,Chennai Airport,"Chennai, India","Kuala Lumpur, Malaysia ",,"Chennai, India",,9000,,Airfreight,,,Turtle Hatchlings
285,2014,4-Mar-14,Reptiles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar","Johannesburg, South Africa; Abu Dhabi, UAE","Moscow, Russia",,50,,Luggage,,Wrapped in paper inside a brown bag containing Malagasy handcrafts,Turtles
286,2014,11-Mar-14,Reptiles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,Russia,,127,,Luggage,Luggage exceeded the 30kg weight limit,,Turtles
287,2014,12-Mar-14,Reptiles,Don Mueang Airport,"Bangkok, Thailand",India,"Bangkok, Thailand","Hong Kong, China",,272,,Luggage,,,Indian Narrow-Headed Soft-Shelled Turtles; Black Pond Turtles
288,2014,1-Apr-14,Reptiles,,United Kingdom,Ghana,,United Kingdom,,100,,Airfreight,,,African-Spurred Tortoises
289,2014,11-Apr-11,Reptiles,Abu Dhabi Airport,"Abu Dhabi, UAE",,,"Abu Dhabi, UAE",,1,,Unknown,,,Spur-Thighed Tortoise
290,2014,28-Apr-14,Reptiles,Trivandrum Airport,"Kerala, India","Kerala, India","Colombo, Sri Lanka","Bangkok, Thailand",,460,,Luggage,Customs officials detained passenger due to his suspicious behavior,,Indian Star Tortoises
291,2014,1-May-14,Reptiles,Manuel Crescencio Rejon Airport,"Merida, Mexico",,,,,6,,Unknown,,,Morelets Crocodiles; Green iguanas
292,2014,10-May-14,Reptiles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,,,521,Kenya Airways,Luggage,,,Angonokas; Radiated Tortoises
293,2014,14-May-14,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand","Kolkata, India",,"Bangkok, Thailand",,230,IndiGo Airlines,Luggage,,,Black Pond Turtles
294,2014,16-May-14,Reptiles,Frankfurt Airport,"Frankfurt, Germany",Mexico,"Frankfurt, Germany","Barcelona, Spain",,90,,Luggage,X-ray,,Turtles; Arboreal Alligator; Lizards Horned Vipers; Five-Keeled Spiny-Tailed Iguana
295,2014,31-May-14,Reptiles,Prince Said Ibrahim Airport,"Grande Comore, Comoros","Grande Comore, Comoros",Tanzania,,,1014,,Luggage,,,Radiated Tortoises
296,2014,1-Jun-14,Reptiles,,Netherlands,Guyana,,Netherlands,,163,,Airfreight,,,Spectacled Caimans
297,2014,1-Jun-14,Reptiles,Weeze Airport,"Weeze, Germany",,,"Weeze, Germany",,4,,Luggage,,,Greek Tortoises
298,2014,1-Jun-14,Reptiles,Pulkovo Airport,"St. Petersburg, Russia",Germany,,"St. Petersburg, Russia",,180,,Luggage,,,Snakes; Lizards; Frogs; Turtles
299,2014,1-Jun-14,Reptiles,Gran Canaria Airport,"Gran Canaria, Spain","Gran Canaria, Spain",,"Madrid, Spain",,,,Luggage,,,Pythons; Boa Constrictors; Leopard Geckos
300,2014,6-Jun-14,Reptiles,Vaclav Havel Airport Prague,"Prague, Czech Republic",,,"Prague, Czech Republic",,49,,Luggage,,,Black-Breasted Leaf Turtles; eggs
301,2014,1-Jul-14,Reptiles,Hamad Airport,"Doha, Qatar",,,"Doha, Qatar",,52,,Luggage,,,Reptiles; snakes
302,2014,8-Jul-14,Reptiles,Soekarno-Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Paris, France",,144,,Luggage,,,Pythons
303,2014,14-Jul-14,Reptiles,Chennai Airport,"Chennai, India","Chennai, India",,"Bangkok, Thailand",,58,Air Asia,Luggage,Scanner,,Spotted Pond Turtles
304,2014,23-Jul-14,Reptiles,San Luis Potosi Airport,"San Luis Potosi, Mexico","Mexico City, Mexico","San Luis Potosi, Mexico","Guanajuato, Mexico; Guadalajara, Mexico; Mexicali, Mexico",,8,,Airfreight,,,Boa Constrictors; Geckos; Lizards; Royal Pythons
305,2014,1-Aug-14,Reptiles,Guadalajara Airport,"Guadalajara, Mexico","Guadalajara, Mexico",,China,,1,,Airfreight,,,Box Turtles
306,2014,1-Aug-14,Reptiles,Chennai Airport,"Chennai, India","Chennai, India",,"Bangkok, Thailand",,88,,Luggage,CISF personnel noticed something moving in a bag and stopped its owner,Under clothing in a bag,Black Pond Turtles
307,2014,10-Aug-14,Reptiles,Chennai Airport,"Chennai, India","Chennai, India",,"Bangkok, Thailand",,60,Air Asia,Luggage,,,Indian Star Tortoises
308,2014,11-Aug-14,Reptiles,Frankfurt Airport,"Frankfurt, Germany",Lebanon,,"Frankfurt, Germany",,1,,Passenger - Clothing/Items,,,Turtles
309,2014,25-Aug-14,Reptiles,Munich Airport,"Munich, Germany",China,,"Munich, Germany",,2,,Luggage,,,Red-Eared Slider Turtles
310,2014,26-Aug-14,Reptiles,Hong Kong Airport,"Hong Kong, China",,,"Hong Kong, China",,624,,Luggage,,,Black Pond Turtles; Indian Roof Turtles
311,2014,26-Aug-14,Reptiles,Guadalajara Airport,"Guadalajara, Mexico","Guadalajara, Mexico",,"Hong Kong, China",,1,,Unknown,,"Inside a diaper, wrapped with tape, and inside a videogame console",Carolina Terrapins
312,2014,9-Sep-14,Reptiles,Juan Santamaria Airport,"San Jose, Costa Rica","San Jose, Costa Rica",Panama,"Dusseldorf, Germany",,438,,Luggage,,,Frogs; Snakes; Lizards; Tadpoles
313,2014,11-Sep-14,Reptiles,Suvarnabhumi Airport,"Bangkok, Thailand",,,,,100,,Unknown,,,Black Pond Turtles
314,2014,20-Sep-14,Reptiles,Jinnah Airport,"Karachi, Pakistan","Lahore, Pakistan","Karachi, Pakistan","Bangkok, Thailand",,218,,Luggage,,"In cloth bags, cushioned with ""wet foam"", inside two suitcases",Black Pond Turtles
